,restoran_name,date,estimation,title,text
0,"Радуга вкуса, Служба доставки еды",11/05/2022 22:47,3,радуга быстро но не очень вкусно,здравствуйте дорогие читатели хочу рассказать сегодня пожалуй о самой известной и самой спорной службе доставки роллов в казани радуга вкуса. у них много рекламы она вылезает в интернете листовки кидают в почтовые ящики не слышал о ней только глухой цены действительно значительно ниже чем в большинстве других доставок но о но позже сначала о плюсах плюс у них есть приложение оно действительно удобное можно выбрать любое блюдо есть разделение по категориям для экономных и больше начинки больше вкуса это приятно. оплатить в приложении нельзя зато есть возможность оплатить картой получении доставляют всегда в срок курьеры вежливые приятные. минус акционная система она из серии сломай мозги к примеру есть сет по акции он стоит 500 ноооо чтобы заказать его ты должен сделать заказ на 700 р то есть докупить что то на 200. при наличии в корзине сета по акции цены на остальные товары автоматически подскакивают. есть у них странность к заказу не кладут по умолчанию васаби имбирь и нори если нужно дозаказываешь мы обычно обходились без этого соевый соус дома всегда есть но думаю это неудобно если делать заказ на работу или в дорогу. а вот и сами роллы запакованы аккуратно в удобные черные контейнеры они очень качественные не разваливаются я как настоящий хомяк оставляю их себе потом использую повторно. ролоы своеобразные рис вываливается во многих видно что используется самый дешевый шо вы хотели за такие начинка однотипная почти везде майонез и крабовые палочки. жареные роллы жирные очень много масла неприятно можно заметить что роллы довольно маленького размера лично мне такие нравятся больше их есть удобно в общем на любителя фишка еще у них везде пищевой краситель засовывать чтобы роллы были яркими их можно поесть под настроение можно заказать когда срочно нужна еда в дорогу и ты будешь уверен что их привезут во время в принципе за такую цену что то лучшего качества вряд ли купишь. набор на фото весил 1300 г и обошелся в 704 рубля. желаю всем отличного настроения и вкусной еды
1,"Радуга вкуса, Служба доставки еды",20/05/2017 15:30,5,теперь я заказываю пиццу и роллы только здесь наконец-то я нашла место где готовят вкусную еду по очень бюджетной цене,здравствуйте в наше время трудно найти место в котором готовят вкусную еду да еще и по бюджетной цене но я нашла его это радуга вкуса знаю что это кафе и их служба доставки еды есть во многих городах и отзывы на некоторые не очень хорошие я ждала открытия в нашем городе давно и в 2015 году дождалась с тех пор на праздники мы заказываем пиццу и роллы только там. пока в нашем городе только одно заведение радуги вкуса и находится оно на сквере лемаева 4. меню меню радует большим ассортиментом роллы всех видов суши пицца сладкая пицца домашние блюда и выпечка обычно мы заказываем сет роллов и пиццу больше всего я люблю набор роллов выгодный №5 который стоит 500 рублей и весит 1020 гр так получилось что поехали забирать мы роллы сами при самовывозе на сумму от 500 рублей можно было выбрать любой подарок мы же выбрали пиццу охотничьи колбаски 21 см. поговорим о вкусе я обожаю их роллы по вкусу все ингредиенты чувствуются свежими после еды никаких проблем не возникало особенно я люблю их жареные и запечённые роллы это самые вкусные и мои любимые блюда больше всего я люблю жареные роллы с курицей так как она не сухая а очень аппетитная а также с крабом и мидиями. классические роллы так же вкусны в данном наборе он представлен с огурцом огурцы сочные что делает роллы более аппетитными. по размеру роллы стандартные но у меня есть небольшая претензия в некоторые роллы кладут много риса хоть для меня это не такая проблема. мне показалось что в пицце многовато зелени а также немного неаккуратно разбросаны ингредиенты по ней но в остальном претензий нет тесто мягкое колбаски вкусные что ещё надо само заведение туда ходила я больше года назад в то время было еще немного персонала но они со всем справлялись. тогда я заказывала тоже набор выгодный №5 и большую пиццу 32 см принесли всё достаточно быстро минут 20 всё было аккуратно разложено по тарелкам. немного возмутили меня только разводы на стаканах а также в заведении мало места и недостаточно хорошее освещение но это и не проблема так как радуга вкуса больше как служба доставки в само заведение люди приходят не часто. акции здесь постоянно проводятся акции. например в своей группе они часто выкладывают промокоды на выгодные скидки на сеты роллов. также есть выдача подарков при определённой сумме заказа. в почтовые ящики закидывают бумажки с выгодными акциями доставка чаще всего доставка занимает около 1-2 часов но в праздничные дни это время может затянуться так как не хватает курьеров в праздничные дни я предпочитаю забирать заказ методом самовывоза. при доставке на дом можно расплатиться наличными или картой. заказ доставляют аккуратно максимум пару роллов могут свалиться набок как я когда наемся их роллами я всем сердцем рекомендую радугу вкуса я нашла место где могу поесть вкусно и бюджетно и не собираюсь его менять
2,"Радуга вкуса, Служба доставки еды",18/11/2019 11:20,1,самая худшая служба доставки видимо у них мало клиентов поэтому и навязываются,всем привет сегодня я расскажу вам про самую плохую службу доставки еды которую я когда-либо встречала иногда я периодически пользуюсь данной услугой понимаю что дома можно приготовить вкуснее гигиеничнее полезнее но все же современная тенденция покушать не домашнее коснулась и меня особенно люблю заказывать суши года назад я ездила в город нижнекамск республики татарстан когда встал вопрос какие суши покушать я как всегда полезла в интернет первым делом поисковик выдал радугу вкуса но прошерстив их сайт куча розыгрышей акций я передумала делать заказ у них обилие розыгрышей и акций у служб доставок всегда вызывает у меня недоверие считаю что здесь доставка работает не на качество а на количество в итоге я нашла другую службу доставки с отличными вкуснейшими роллами как-то в гости ко мне наведалась знакомая было принято решение заказать роллы где она-то и предложила радугу вкуса сказав пробовали не отравились вкусно я согласилась на свою голову. роллы мы заказали через приложение радуга вкуса помимо роллов у них есть и другая кухня. роллы доставили быстро их внешний вид немного уступал моей любимой службе доставки хотя мы заказывали не эконом вариант у радуги вкуса есть роллы эконом и не эконом да-да по поводу вкуса мне было не вкусно. покушали мы тогда не отравились и я благополучно забыла про эту службу. но спустя определенное время эта доставка начала меня доставать приложение их было удалено в первый же день заказа но они докучали меня смс и автоматическими звонками сообщающими об акциях это все мне поднадоело и я обратилась в их службу чтобы они удалили мой номер из своей базы оператор извинилась пообещав решить мою проблему однако иногда эта доставка о себе все равно напоминала. этой осенью она напомнила о себе несколько раз звонком смс так ещё и чат app накипело и я решила рассказать про неё здесь вопрос разве будет уважающая себя и своих клиентов организация навязывать услуги вобщем для меня эта контора самая худшая из всех что я встречала повторюсь роллы их не вкусные в нижнекамске есть более достойные и вкусные службы доставки и кстати мне ни разу не позвонили оттуда радугу вкуса я не рекомендую надеюсь когда-нибудь до владельцев данной сети дойдёт что клиентов надо добиваться не назойливыми звонками и смс а качественной вкусной едой
3,"Радуга вкуса, Служба доставки еды",14/03/2021 16:16,1,гадость,кроме быстрой доставки плюсов нет порезаны и уложены ещё роллы аккуратно рыба на филадельфии пресная и очень тонкая рис тоже пресный и не солёный вместо творожного сыра сверху что то непонятное воде маргарина все роллы на один вкус начинки кот наплакал и это типа серия вкуснее где заявлено много начинки что же тогда в серии эконом пицца наоборот пересоленая и толстое тесто больше заказывать не будем жалко даже 499р за аукционный набор и кстати отзывы в группе оставляют только угодные им для раскрутки
4,"Радуга вкуса, Служба доставки еды",8/08/2020 19:24,5,вкусно и быстро,хорошая служба доставки еды заказываем постоянно именно в радуге вкуса наверное почти уже год. выбор разнообразный роллы вторые блюда салаты пиццы напитки.я чаще беру роллы и пиццу относительно недорого за такое качество. есть разные акции -50 большие наборы роллов дешевле скидка на лет рождения сертификаты в подарок за заказ 300 рублей с ними все ещё выгоднее возможна оплата баллами которые получаешь за заказы. доставка быстрая еда тёплая.нашей семье все нравится советуем
5,"Радуга вкуса, Служба доставки еды",30/05/2021 13:06,5,как радуга вкуса стала моим спасением,расскажу про свой кейс использования этого сервиса.так случилось что ко мне неожиданно нагрянули гости которых как говорится за пустой стол не сажают поэтому передо мной встала задача немедленно достать готовую еду ситуацию осложняло то что для меня как для студента было бы очень затратно заказывать целый стол еды в моем привычном сервисе ввиду не самых низких цен.тут как раз вовремя обнаружила в почтовом ящике листовку радуги вкуса в которой действовала акция всё за полцены и цены были действительно очень низкие а меню помимо роллов и пиццы содержало множество других блюд супы лапша пироженные пироги хачапури салаты десерты -идеально чтобы разнообразить стол с угощениями конечно меня насторожили очень низкие цены но мои опасения развеялись когда заказ пришел порадовала быстрая 40 минут и бесплатная доставка всё было хорошо упаковано и пришло тёплым еда великолепная вкуснее роллов я никогда не пробовала а в пицце было действительно много начинки в общем все гости остались довольны и я тоже теперь всегда буду пользоваться данным сервисом и рекомендовать его всем своим друзьям
6,"Радуга вкуса, Служба доставки еды",22/03/2020 22:18,5,все вкусно и замечательно,
7,"Радуга вкуса, Служба доставки еды",27/12/2019 18:52,1,дорого и невкусно,от прошлого заказа остался сертификат со скидкой решил на свою голову заказать роллы к слову в прошлый раз заказывал вполне неплохую пиццу сертификат со скидкой в 250₽ при условии что минимальный заказ будет 600. я выбрал набор ролл и получалось 628 рублей мне позвонили и девушка сказала что роллы будут стоить 728 рублей тк цена на сайте неправильная там они якобы по акции на деле же это чистой воды обман и заманилово ну что же ладно решил я мб они хотя бы вкусные и аппетитные такие как на картинке тем более в прошлый раз там была неплохая пицца я все таки заказал эти роллы что мне привезли за 728 рублей маленькие коробульки с микроскопическими роллами и хочется сказать повару тому кто этот щидевр готовит вы сами то хоть пробуете они абсолютно невкусные начинка нулевая по сути платите вы просто за рис сверху на роллы положили какую то кислятину в общем заказывать эти нанороллы с отвратительным вкусом я больше не собираюсь и вам не советую
8,"Радуга вкуса, Служба доставки еды",19/09/2022 23:33,1,каждый день скидки скидки а качество еды даже собаки страшно давать ужасная компания,"яркая реклама ежедневные скидки комбо и куча всяких спецпредложении пока качеству еды очень очень ужасная от рыбы всегда ужасно пахнет как будто она уже протухла рис переваренный слипшийся и безвкусный содержания начинок желает ожидать лучшего но иной раз вообще не разберешь что за продукт доставка это отдельная история как будто они едут из другой страны и по дороге еще заехали на футбол и ими футболисты еще забили гол пару раз когда звонишь оператор сперва очень вежлив а когда начинаешь уточнять начинается просто треш полный столько агрессии думаю спасает то что разговариваем по телефону если бы стояли и разговаривали они бы наверное запустили чем нибудь сразу когда обещают что доставка займет 1,5 часа на самом деле 4,5 часа и еще он будет ледяной не рекомендую данную компанию испорченный вечер"
9,"Радуга вкуса, Служба доставки еды",31/05/2020 17:00,5,хороший сервис,быстрая доставка выгодная цена и отличное качество если кто пишет плохие отзывы так это конкуренты просто всё нормально что ещё порадовало это очень внимательный оператор курьер тоже очень вежливый и приятный молодой человек заказал и меньше чем через час всё привезли очень оперативно всё таки буду ещё заказывать и всем советую
